Run #2	Run #2	Run #2	Run #2	Run #2	Run #2	Run #2	Run #2
Date and Time	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)
10/18/2019 06:33:49 pm	0.092	0.192	0.000	1454.441	0.0046	0.000	34.722
10/18/2019 06:33:49 pm	0.093	0.192	2.909	1939.254	0.0046	0.069	46.296
10/18/2019 06:33:49 pm	0.094	0.192	5.818	969.627	0.0046	0.139	23.148
10/18/2019 06:33:49 pm	0.095	0.209	5.818	-969.627	0.0050	0.139	-23.148
10/18/2019 06:33:49 pm	0.096	0.209	2.909	-1939.254	0.0050	0.069	-46.296
10/18/2019 06:33:49 pm	0.097	0.209	0.000	-1454.441	0.0050	0.000	-34.722
10/18/2019 06:33:49 pm	0.098	0.209	0.000	-484.814	0.0050	0.000	-11.574
10/18/2019 06:33:49 pm	0.099	0.209	0.000	484.814	0.0050	0.000	11.574
10/18/2019 06:33:49 pm	0.100	0.209	0.000	1454.441	0.0050	0.000	34.722
10/18/2019 06:33:49 pm	0.101	0.209	2.909	1939.254	0.0050	0.069	46.296
10/18/2019 06:33:49 pm	0.102	0.209	5.818	969.627	0.0050	0.139	23.148
10/18/2019 06:33:49 pm	0.103	0.227	5.818	-969.627	0.0054	0.139	-23.148
10/18/2019 06:33:49 pm	0.104	0.227	2.909	-1939.254	0.0054	0.069	-46.296
10/18/2019 06:33:49 pm	0.105	0.227	0.000	-1454.441	0.0054	0.000	-34.722
10/18/2019 06:33:49 pm	0.106	0.227	0.000	6.661E-13	0.0054	0.000	3.296E-14
10/18/2019 06:33:49 pm	0.107	0.227	0.000	1454.441	0.0054	0.000	34.722
10/18/2019 06:33:49 pm	0.108	0.227	2.909	1939.254	0.0054	0.069	46.296
10/18/2019 06:33:49 pm	0.109	0.227	5.818	969.627	0.0054	0.139	23.148
10/18/2019 06:33:49 pm	0.110	0.244	5.818	-969.627	0.0058	0.139	-23.148
10/18/2019 06:33:49 pm	0.111	0.244	2.909	-1939.254	0.0058	0.069	-46.296
10/18/2019 06:33:49 pm	0.112	0.244	0.000	-1454.441	0.0058	0.000	-34.722
10/18/2019 06:33:49 pm	0.113	0.244	0.000	2.276E-12	0.0058	0.000	0.000
