s2	s2	s2	s2	s2	s2	s2	s2
Date and Time	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)
10/18/2019 05:47:22 pm	0.087	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.088	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.089	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.090	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.091	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.092	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.093	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.094	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.095	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.096	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.097	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.098	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.099	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.100	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.101	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.102	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.103	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.104	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.105	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.106	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.107	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.108	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.109	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.110	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.111	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.112	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.113	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.114	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.115	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.116	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.117	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.118	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.119	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.120	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.121	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:22 pm	0.122	0.017	0.000	0.000	4.1667E-4	0.000	0.000
