m2	m2	m2	m2	m2	m2	m2	m2
Date and Time	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)
10/18/2019 05:47:44 pm	0.234	0.017	0.000	-484.814	4.1667E-4	0.000	-11.574
10/18/2019 05:47:44 pm	0.235	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:44 pm	0.236	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:44 pm	0.237	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:44 pm	0.238	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:44 pm	0.239	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:44 pm	0.240	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:44 pm	0.241	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:44 pm	0.242	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:44 pm	0.243	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:44 pm	0.244	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:44 pm	0.245	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:44 pm	0.246	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:44 pm	0.247	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:44 pm	0.248	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:44 pm	0.249	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:44 pm	0.250	0.017	0.000	0.000	4.1667E-4	0.000	0.000
10/18/2019 05:47:44 pm	0.251	0.017	0.000	0.000	4.1667E-4	0.000	0.000
